fit_time,score_time,RMSE,train_RMSE,MAE,train_MAE,R2,train_R2
0.19592809677124023,0.004342079162597656,0.1432692057176311,0.10886294826992368,0.10499676323047634,0.08259424524447498,0.9585430283986317,0.9675888150675946
0.19077610969543457,0.0046100616455078125,0.14334223840411175,0.1094753057879288,0.10856408002351042,0.08277409315858446,0.9424200203742323,0.9687462650028044
0.16124486923217773,0.00944828987121582,0.153408249196157,0.10837169656230544,0.11444583668394662,0.08185467066166467,0.929145572555483,0.9695597291868807
0.18175172805786133,0.007377147674560547,0.1602450397021379,0.10601398500279195,0.11359029735918749,0.07990596266927771,0.9284501174777209,0.9706508651200065
0.1887187957763672,0.00411224365234375,0.1478473645234644,0.10923039455770084,0.11055295929903643,0.08242024216455304,0.9401541139995253,0.9688759464581859
0.17514991760253906,0.004263877868652344,0.14805749796560083,0.10765994104447003,0.11243855673669122,0.08109186524547977,0.9278697656370036,0.9702570147011056
0.1719529628753662,0.00478816032409668,0.1461853642351914,0.1097140692915005,0.11012934238467224,0.08258721882439253,0.9457231635759964,0.9680834330466987
0.20139622688293457,0.005440711975097656,0.15099407534945022,0.10816221374878157,0.10791445572546733,0.08156928293909545,0.9353962130217189,0.9695514971364689
0.18082976341247559,0.004365205764770508,0.1462154355068888,0.10963245285347471,0.1082375761664441,0.08283859925098785,0.9421888006544357,0.9685730806921417
0.1805858612060547,0.003936052322387695,0.14014041485618006,0.10936988343290882,0.10492915603364603,0.08250518402047122,0.9496749390010132,0.9685478755080454
