fit_time,score_time,RMSE,train_RMSE,MAE,train_MAE,R2,train_R2
0.22970318794250488,0.004890918731689453,0.14659369602914976,0.10491818562020096,0.10924534922151277,0.0792541122306657,0.9431547892275505,0.9711750841104083
0.22223877906799316,0.010972976684570312,0.1398528446338494,0.10512750883579859,0.10570521738349506,0.07934971148648964,0.9490811830784303,0.971009324064914
0.20564603805541992,0.00780487060546875,0.14315204365093565,0.10538864685423895,0.1041747733915965,0.07973791122334342,0.9481815812756129,0.9707642097558111
0.22012901306152344,0.008400201797485352,0.13894402358513652,0.10448146723881162,0.10412714357943494,0.07880743770894892,0.9501007457577778,0.9713410257636906
0.23300600051879883,0.0065610408782958984,0.13849829538269273,0.10427166173702365,0.10419954422019538,0.07891369641681117,0.9526919901450852,0.9712965087639549
0.23984789848327637,0.0060329437255859375,0.142989131111443,0.1051455717049481,0.10671019580557058,0.07949657873103098,0.9475598489337864,0.9709501601622194
0.20948290824890137,0.0058519840240478516,0.14080502323598373,0.105011343688277,0.10510657269000583,0.07947038207569637,0.9470644821033974,0.9711503300601556
0.2120981216430664,0.0049610137939453125,0.14340266649616415,0.10534454877997539,0.10864412017350132,0.07925251372654657,0.9441345641140227,0.9710218200402371
0.21912503242492676,0.010975837707519531,0.14681952296547715,0.10562516955210466,0.10907728795695422,0.0796736021904305,0.9413094169256998,0.9708766643241358
0.21895313262939453,0.006428956985473633,0.14270026921201112,0.10496562777316741,0.10689959667707473,0.07923320152878846,0.9439744055873404,0.9712712426439416
