Variable,Importancia
cat__barrio_LOS CEDROS ORIENTAL,0.0013768648
cat__barrio_SAN PATRICIO,0.0013744395
cat__upz_ZONA INDUSTRIAL,0.0013735685
cat__upz_AMERICAS,0.0013705896
cat__barrio_SAN ANTONIO NOROCCIDENTAL,0.0013645303
cat__barrio_SANTA TERESA,0.0013594121
cat__upz_LA ESMERALDA,0.0013558127
cat__barrio_PARAMO I,0.0013546017
cat__barrio_EL CONTADOR,0.0013520652
cat__upz_CIUDAD SALITRE ORIENTAL,0.0013514179
cat__upz_BRITALIA,0.0013466795
cat__upz_COUNTRY CLUB,0.0013466565
cat__barrio_BELLAVISTA NORTE,0.0013385583
cat__barrio_SANTA CECILIA,0.0013357966
cat__barrio_ESCUELA DE CARABINEROS,0.0013344514
cat__upz_GARCES NAVAS,0.001329508
cat__barrio_NICOLAS DE FEDERMAN,0.0013256477
cat__upz_CIUDAD SALITRE OCCIDENTAL,0.001325548
cat__barrio_CEDRITOS,0.0013115696
cat__barrio_CAMPIN OCCIDENTAL,0.0012969269
cat__barrio_PARIS,0.0012942833
cat__barrio_ENGATIVA EL DORADO,0.0012916364
cat__barrio_BOSQUE DE PINOS I,0.001267376
cat__upz_TIBABUYES,0.0012665553
cat__barrio_GILMAR,0.0012596757
cat__upz_NIZA,0.0012582338
cat__upz_EL REFUGIO,0.0012549269
cat__barrio_SANTA ANA OCCIDENTAL,0.0012531683
cat__barrio_EL RECUERDO,0.001249898
cat__barrio_LA SALLE,0.0012417693
cat__barrio_TIBABITA I,0.0012390902
cat__barrio_GINEBRA,0.0012342058
cat__barrio_LA PEPITA,0.0012310379
cat__upz_BOLIVIA,0.0012239284
cat__barrio_CIUDAD TECHO II,0.0012214239
cat__upz_CHAPINERO,0.0012163869
cat__upz_DANUBIO,0.0012133886
num__comercial,0.0012111615
cat__barrio_OSORIO III,0.0012087608
cat__barrio_LA ESMERALDA,0.0011978354
cat__barrio_RICAURTE,0.0011965074
num__healthcare_1000,0.0011906327
cat__upz_CASTILLA,0.001190129
cat__upz_DOCE DE OCTUBRE,0.0011825184
cat__upz_FONTIBON SAN PABLO,0.001171317
cat__barrio_VEREDA TIBABUYES,0.0011697029
cat__upz_KENNEDY CENTRAL,0.001163689
num__cultural_amenities_1000,0.0011602426
cat__upz_VENECIA,0.0011566809
cat__antiguedad_REMODELADO,0.0011404593
cat__barrio_BENJAMIN HERRERA,0.0011402742
cat__barrio_VEREDA SUBA NARANJOS,0.0011384267
cat__upz_CHICO LAGO,0.0011348105
cat__barrio_TIBABUYES NORTE,0.0011332195
num__accommodation_2000,0.0011315524
cat__barrio_EL GACO,0.0011259608
num__infrastructure_services_1000,0.0011190898
num__infrastructure_services_2000,0.0011180779
num__dining_and_entertainment_2000,0.0011130299
cat__barrio_EDUARDO SANTOS,0.0011098181
cat__barrio_ACACIAS USAQUEN,0.001109132
cat__upz_LA FLORESTA,0.0010969293
cat__barrio_EL CHICO,0.0010923693
cat__barrio_GALAN SUR,0.0010923658
cat__upz_CASA BLANCA SUBA,0.0010905111
cat__barrio_PORTALES DEL NORTE,0.0010896439
cat__barrio_MONACO,0.0010866452
cat__barrio_PRADO PINZON,0.0010852623
cat__upz_RESTREPO,0.0010823502
cat__barrio_EL ENSUENO,0.0010704532
num__parks_and_recreation_2000,0.0010619189
cat__barrio_LA LIBERIA,0.0010615465
cat__upz_CIUDAD MONTES,0.0010557304
cat__barrio_EMAUS,0.0010506862
cat__barrio_COUNTRY CLUB,0.0010496632
cat__upz_SANTA BARBARA,0.0010486458
cat__barrio_ALAMOS ZARZAMORA,0.0010430927
cat__upz_PASEO DE LOS LIBERTADORES,0.0010429055
num__retail_access_2000,0.0010403831
cat__barrio_BARRANCAS NORTE,0.0010381876
cat__barrio_SANTA HELENA,0.0010353306
cat__barrio_SAN JOSE DE USAQUEN,0.0010334349
cat__upz_MINUTO DE DIOS,0.0010325876
num__dining_and_entertainment_1000,0.0010325197
num__cultural_amenities_2000,0.0010319314
cat__barrio_LA ESPERANZA NORTE,0.0010309072
num__retail_access_1000,0.0010304181
num__cultural_amenities_500,0.0010269234
cat__barrio_EL CORZO,0.0010261456
cat__upz_LA URIBE,0.0010233014
cat__upz_PARDO RUBIO,0.0010204226
cat__barrio_CHAPINERO NORTE,0.0010200791
cat__barrio_LA CASTELLANA,0.001013042
cat__barrio_SALITRE SUBA,0.0010124827
num__healthcare_2000,0.001006036
num__accommodation_500,0.0010028696
cat__barrio_EL LISTON,0.0009988867
num__accommodation_1000,0.0009979103
num__parks_and_recreation_1000,0.0009955709
cat__barrio_METROPOLIS,0.0009902376
cat__barrio_JORGE ELIECER GAITAN,0.0009897994
cat__barrio_TUNAL ORIENTAL,0.000987332
cat__barrio_CHAPINERO CENTRAL,0.0009854819
num__education_2000,0.0009853145
cat__barrio_SAN JOSE DEL PRADO,0.0009837956
cat__barrio_TIBABUYES,0.0009833325
cat__barrio_MADELENA,0.0009821593
cat__barrio_TECHO,0.0009816542
cat__barrio_EL TOBERIN,0.0009811331
cat__barrio_TIBANA,0.0009772244
cat__barrio_MARIA CRISTINA,0.00097627955
cat__barrio_JULIO FLOREZ,0.0009754333
cat__barrio_GUADUAL FONTIBON,0.00097531365
num__retail_access_500,0.0009736463
cat__upz_LA SABANA,0.0009736048
cat__barrio_LOS CEDROS,0.00096693385
num__catastral,0.00096405257
cat__barrio_VILLA CARMENZA,0.000963906
num__infrastructure_services_500,0.0009638141
cat__barrio_MODELIA OCCIDENTAL,0.00096343446
cat__barrio_ALTOS DE CHOZICA,0.0009617043
cat__upz_COMUNEROS,0.00095793844
cat__barrio_SAN CARLOS DE SUBA,0.0009393207
cat__barrio_CASTILLA,0.0009377994
num__parks_and_recreation_500,0.00093553355
cat__barrio_LA CABRERA,0.0009326423
cat__upz_PUENTE ARANDA,0.0009285663
cat__barrio_EL BAGAZAL,0.00092139485
cat__barrio_VEREDA SUBA CERROS,0.00092023803
cat__barrio_LA GRANJA NORTE,0.0009198016
cat__barrio_PRADO VERANIEGO,0.0009150707
