Variable,Importancia
cat__barrio_PASTRANA,0.0
cat__barrio_PATIO BONITO III,0.0
cat__barrio_PENSILVANIA,0.0
cat__barrio_DESARROLLO BRAZUELOS,0.0
cat__barrio_DINDALITO II,0.0
cat__barrio_DOCE DE OCTUBRE,0.0
cat__barrio_EGIPTO,0.0
cat__barrio_EL BOSQUE,0.0
cat__barrio_EL CEDRO ORIENTAL,0.0
cat__barrio_EL CEREZO,0.0
cat__barrio_EL CHARCO II,0.0
cat__barrio_EL CHIRCAL SUR,0.0
cat__barrio_CIUDAD SALITRE SUR-ORIENTAL,0.0
cat__barrio_COLOMBIA,0.0
cat__barrio_COLON,0.0
cat__barrio_CORDOBA,0.0
cat__barrio_COSTA AZUL,0.0
cat__barrio_POPULAR MODELO,0.0
cat__barrio_POTRERILLO,0.0
cat__barrio_PRIMAVERA,0.0
cat__barrio_PRIMAVERA II,0.0
cat__barrio_PRIMAVERA OCCIDENTAL,0.0
cat__barrio_CHICALA,0.0
cat__barrio_CHICO SUR,0.0
cat__barrio_CHUNIZA,0.0
cat__barrio_CIUDAD BERNA,0.0
cat__barrio_CIUDAD HUNZA,0.0
cat__barrio_CIUDAD JARDIN SUR,0.0
cat__barrio_CIUDAD KENNEDY,0.0
cat__barrio_CIUDAD KENNEDY NORTE,0.0
cat__barrio_CIUDAD KENNEDY ORIENTAL,0.0
cat__barrio_CIUDAD KENNEDY SUR,0.0
cat__barrio_PROVIVIENDA NORTE,0.0
cat__barrio_PUERTA DE TEJA,0.0
cat__barrio_PUERTA DEL SOL,0.0
cat__barrio_QUIRIGUA,0.0
cat__barrio_REMANSO,0.0
cat__barrio_CATALINA II,0.0
cat__barrio_CATALUNA,0.0
cat__barrio_CENTRAL DE MEZCLAS,0.0
cat__barrio_CENTRO ADMINISTRATIVO OCCIDENT,0.0
cat__barrio_CENTRO FONTIBON,0.0
cat__barrio_CENTRO INDUSTRIAL,0.0
cat__barrio_CENTRO NARINO,0.0
cat__barrio_RENANIA URAPANES,0.0
cat__barrio_RESTREPO,0.0
cat__barrio_ROMA,0.0
cat__barrio_RONDA,0.0
cat__barrio_SAGRADO CORAZON,0.0
cat__barrio_SALAZAR GOMEZ,0.0
cat__barrio_SAMORE,0.0
cat__barrio_CANADA O GUIRA,0.0
cat__barrio_CASA DE TEJA,0.0
cat__barrio_CASABLANCA,0.0
cat__barrio_CASABLANCA SUR,0.0
cat__barrio_SAMPER MENDOZA,0.0
cat__barrio_SAN BERNARDINO XVIII,0.0
cat__barrio_SAN BERNARDINO XXV,0.0
cat__barrio_SAN CARLOS,0.0
cat__barrio_SAN CRISTOBAL SUR,0.0
cat__barrio_BOSA,0.0
cat__barrio_BOSQUE IZQUIERDO,0.0
cat__barrio_BOSQUE POPULAR,0.0
cat__barrio_BOYACA,0.0
cat__barrio_BRASILIA,0.0
cat__barrio_BUENAVISTA,0.0
cat__barrio_BUENOS AIRES,0.0
cat__barrio_SAN DIEGO-BOSA,0.0
cat__barrio_SAN EUSEBIO,0.0
cat__barrio_SAN FERNANDO,0.0
cat__barrio_SAN FRANCISCO,0.0
cat__barrio_SAN FRANCISCO RURAL,0.0
cat__barrio_SAN GABRIEL,0.0
cat__barrio_SAN ISIDRO,0.0
cat__barrio_SAN ISIDRO SUR,0.0
cat__barrio_SAN JOSE DE BAVARIA,0.0
cat__barrio_BAVARIA,0.0
cat__barrio_BELEN,0.0
cat__barrio_BELLAVISTA OCCIDENTAL,0.0
cat__barrio_BERLIN,0.0
cat__barrio_BILBAO,0.0
cat__barrio_BOCHICA NORTE,0.0
cat__barrio_BOLIVIA,0.0
cat__barrio_SAN LUIS ALTOS DEL CABO,0.0
cat__barrio_SAN MARTIN SUR,0.0
cat__barrio_SAN PEDRO DE LOS ROBLES,0.0
cat__barrio_SAN RAFAEL INDUSTRIAL,0.0
cat__barrio_SAN VICENTE FERRER,0.0
cat__barrio_SAN VICTORINO,0.0
cat__barrio_ATENAS,0.0
cat__barrio_AURES,0.0
cat__barrio_AURES II,0.0
cat__barrio_AUTOPISTA MUZU,0.0
cat__barrio_AUTOPISTA MUZU 0RIENTAL,0.0
cat__barrio_AUTOPISTA SUR,0.0
cat__barrio_BANCO CENTRAL,0.0
cat__barrio_BAQUERO,0.0
cat__barrio_BARCELONA,0.0
cat__barrio_BARRANQUILLITA,0.0
cat__barrio_SANTA FE BOSA,0.0
cat__barrio_SANTA ISABEL SUR,0.0
cat__barrio_ALCAZARES NORTE,0.0
cat__barrio_ALFONSO LOPEZ,0.0
cat__barrio_ALQUERIA LA FRAGUA,0.0
cat__barrio_ALQUERIA LA FRAGUA N.,0.0
cat__barrio_ANDALUCIA II,0.0
cat__barrio_ANTONIA SANTOS,0.0
cat__barrio_ANTONIO JOSE DE SUCRE,0.0
cat__barrio_ARBORIZADORA ALTA II,0.0
cat__barrio_ARGELIA II,0.0
cat__barrio_ATAHUALPA,0.0
cat__barrio_SANTA MONICA,0.0
cat__barrio_SANTA TERESA DE SUBA,0.0
cat__barrio_SANTA TERESITA,0.0
cat__barrio_SANTA VIVIANA,0.0
cat__barrio_SANTANDER,0.0
cat__barrio_SIBERIA CENTRAL,0.0
cat__barrio_SIETE DE AGOSTO,0.0
cat__barrio_SIMON BOLIVAR,0.0
cat__barrio_SN. ANTONIO ENGATIVA,0.0
cat__barrio_SOCIEGO,0.0
cat__upz_TUNJUELITO,0.0
cat__barrio_20 DE JULIO,0.0
cat__barrio_ABRAHAM LINCOLN,0.0
cat__barrio_ALCALA,0.0
cat__barrio_ALCAZARES,0.0
cat__upz_LUCERO,0.0
cat__upz_SAN FRANCISCO,0.0
cat__upz_SAN ISIDRO - PATIOS,0.0
cat__upz_PARQUE SALITRE,0.0
cat__upz_TEUSAQUILLO,0.0
cat__barrio_STA. C. PUENTE NORTE,0.0
cat__barrio_SUCRE,0.0
cat__barrio_TABORA,0.0
cat__barrio_TAIRONA,0.0
cat__barrio_TEUSAQUILLO,0.0
cat__barrio_TIBABUYES OCCIDENTAL,0.0
cat__upz_LA GLORIA,0.0
cat__upz_LA MACARENA,0.0
cat__barrio_VILLA MARIA,0.0
cat__barrio_LA INDEPENDENCIA,0.0
cat__barrio_LA LAGUNA FONTIBON,0.0
cat__barrio_LA LIBERTAD,0.0
cat__barrio_LA LIBERTAD SUR,0.0
cat__barrio_LA MACARENA,0.0
cat__barrio_LA MAGDALENA ORIENTAL,0.0
cat__barrio_LA MARIA,0.0
cat__barrio_LA PAMPA,0.0
cat__barrio_LA PATRIA,0.0
cat__barrio_LA AURORA SUR,0.0
cat__barrio_LA CABANA NORTE,0.0
cat__upz_EL TESORO,0.0
cat__barrio_LA GAITANA,0.0
cat__upz_LOURDES,0.0
cat__barrio_VILLA DEL MAR,0.0
cat__upz_GUAYMARAL,0.0
cat__upz_JERUSALEM,0.0
cat__upz_CIUDAD JARDIN,0.0
cat__upz_EL MOCHUELO,0.0
cat__upz_20 DE JULIO,0.0
cat__barrio_VERACRUZ,0.0
cat__barrio_VEREDA EL TINTAL,0.0
cat__barrio_VERONA,0.0
cat__barrio_VERSALLES FONTIBON,0.0
cat__barrio_LA FISCALA NORTE,0.0
cat__barrio_LA FLORIDA OCCIDENTAL,0.0
cat__barrio_LA FRAGUITA,0.0
cat__barrio_VILLAS DE GRANADA,0.0
