precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets,administracion_imputada,estrato_imputado
480000000.0,65.0,2.0,2.0,370000.0,1.0,SALITRE MODELIA,4.0,ENTRE 10 Y 20 ANOS,4.658675,-74.11944,USADO,1,0,1,1,0,0,,9.0,,0,0
2600000000.0,332.0,4.0,5.0,1250000.0,3.0,COUNTRY,6.0,MAS DE 20 ANOS,4.708,-74.042,USADO,0,1,0,0,0,0,,,,0,0
990000000.0,115.0,2.0,3.0,1111000.0,2.0,CHICO,6.0,ENTRE 5 Y 10 ANOS,4.6575985,-74.052734,USADO,0,1,0,0,0,0,,5.0,2.0,0,0
900000000.0,160.0,4.0,4.0,693000.0,1.0,CHAPINERO ALTO,4.0,MAS DE 20 ANOS,4.6491547,-74.06158,USADO,0,1,0,0,0,0,100.0,12.0,4.0,0,0
210000000.0,39.0,2.0,1.0,138000.0,0.0,PUENTE ARANDA,3.0,ENTRE 0 Y 5 ANOS,4.6094265,-74.10826,USADO,0,1,0,0,1,0,,23.0,,0,0
1750000000.0,206.0,3.0,4.0,1200000.0,3.0,COUNTRY,6.0,ENTRE 10 Y 20 ANOS,4.711,-74.025,USADO,0,0,1,1,0,0,1.0,,1.0,0,0
865000000.0,145.0,3.0,3.0,1200000.0,2.0,COUNTRY,5.0,ENTRE 10 Y 20 ANOS,4.70429,-74.02949,USADO,0,1,0,1,0,0,,2.0,,0,0
179000000.0,47.0,3.0,1.0,107000.0,0.0,CORTIJO AUTOPISTA MEDELLIN,3.0,MAS DE 20 ANOS,4.7133026000000005,-74.10489,USADO,0,0,0,0,0,0,,4.0,,0,0
350000000.0,47.0,1.0,1.0,409000.0,1.0,COUNTRY,5.0,ENTRE 5 Y 10 ANOS,4.7168765,-74.047585,USADO,0,0,0,0,0,0,3.0,4.0,,0,0
460000000.0,80.0,3.0,2.0,306000.0,1.0,ORQUIDEAS,4.0,ENTRE 10 Y 20 ANOS,4.756117,-74.038315,USADO,0,1,0,0,0,0,,12.0,,0,0
1155000000.0,213.0,3.0,3.0,741000.0,3.0,COLINA Y ALREDEDORES,5.0,ENTRE 5 Y 10 ANOS,4.7407107,-74.05495,USADO,0,1,1,1,1,0,50.0,12.0,3.0,0,0
195000000.0,64.0,3.0,2.0,151700.0,0.0,ENGATIVA,2.0,ENTRE 5 Y 10 ANOS,4.70105,-74.1306,USADO,0,0,0,0,0,0,,,,0,0
500000000.0,27.09,1.0,1.0,370000.0,0.0,SANTA BARBARA,5.0,ENTRE 0 Y 5 ANOS,4.685709,-74.0473,USADO,1,1,1,1,1,1,,18.0,1.0,0,0
1050000000.0,133.0,3.0,3.0,452000.0,2.0,NIZA ALHAMBRA,5.0,ENTRE 10 Y 20 ANOS,4.7059999999999995,-74.068,USADO,0,1,1,1,1,1,,,,0,0
1600000000.0,223.0,3.0,3.0,2540000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.6663933,-74.045456,USADO,0,1,0,0,0,0,,1.0,,0,0
270000000.0,59.0,3.0,2.0,265000.0,1.0,ENGATIVA,4.0,ENTRE 10 Y 20 ANOS,4.724969,-74.13522,USADO,0,1,0,0,0,0,,20.0,,0,0
480000000.0,67.0,1.0,2.0,493000.0,1.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.6839623,-74.0482,USADO,0,1,0,1,0,1,,6.0,1.0,0,0
700000000.0,117.87,3.0,3.0,560000.0,1.0,CHAPINERO ALTO,4.0,MAS DE 20 ANOS,4.6509743,-74.0581,USADO,0,1,0,0,0,0,,13.0,,0,0
