Variable,Importancia
cat__barrio_EL TINTAL A.S.D.,0.0011705663
cat__barrio_PUENTE LARGO,0.0011669472
cat__upz_SAGRADO CORAZON,0.0011653338
cat__barrio_CANODROMO,0.0011563455
cat__barrio_BELALCAZAR,0.001152563
cat__barrio_TIMIZA A,0.0011521692
cat__barrio_LA CHUCUA,0.0011480127
num__education_1000,0.0011418774
cat__barrio_RAFAEL ESCAMILLA,0.0011401841
num__retail_access_100,0.0011298049
cat__barrio_ALMIRANTE COLON,0.0011200091
cat__barrio_SANTA HELENA,0.0011184257
cat__barrio_ACACIAS USAQUEN,0.0011176959
cat__barrio_JORGE ELIECER GAITAN,0.001104916
cat__barrio_EL PLAN,0.0010944592
cat__barrio_LAS MARGARITAS NORTE,0.0010936479
cat__upz_FONTIBON,0.0010874228
cat__barrio_CLUB DE LOS LAGARTOS,0.0010872415
num__dining_and_entertainment_300,0.0010669741
cat__barrio_EDUARDO SANTOS,0.0010501285
cat__barrio_RINCON DE SANTA INES,0.0010265841
cat__upz_ARBORIZADORA,0.001016875
cat__barrio_CASTILLA,0.0009965011
cat__barrio_PARQUE NACIONAL ORIENTAL,0.0009864819
cat__upz_GALERIAS,0.0009831458
cat__barrio_EL CHICO,0.0009797332
cat__upz_VENECIA,0.00097457535
num__education_300,0.00096046965
cat__upz_ZONA INDUSTRIAL,0.0009570527
cat__upz_BOYACA REAL,0.0009557151
cat__barrio_EL POA,0.0009550961
num__education_100,0.00094351015
cat__upz_PATIO BONITO,0.00094125315
cat__barrio_LA PEPITA,0.0009346511
cat__upz_TIBABUYES,0.0009319453
cat__barrio_NUEVA TIBABUYES,0.00092322816
cat__barrio_SAN DIEGO,0.0008934239
cat__barrio_EL DANUBIO AZUL,0.00087443984
cat__upz_ALAMOS,0.000848515
num__healthcare_100,0.00084600947
cat__barrio_BANCO CENTRAL,0.0008404979
num__accommodation_100,0.00083821284
cat__barrio_VERBENAL SAN ANTONIO,0.0008200906
cat__barrio_SAN BERNARDINO XVII,0.00081781234
cat__barrio_RICAURTE,0.0008147456
cat__barrio_VICTORIA NORTE,0.00079956674
cat__barrio_BOSQUE DE PINOS I,0.000799346
cat__barrio_CIUDAD BACHUE I ETAPA,0.0007980163
cat__barrio_TUNJUELITO USME,0.0007939436
cat__barrio_GINEBRA,0.00075686467
cat__barrio_MONACO,0.0007554328
cat__barrio_VILLA CARMENZA,0.00075312366
cat__barrio_BOCHICA II,0.00075076206
cat__barrio_LAS VILLAS,0.00073713355
cat__barrio_CEDRITOS,0.00073586084
cat__barrio_MONTEVIDEO,0.00073336874
cat__barrio_ALTOS DE CHOZICA,0.00070450996
cat__barrio_BOCHICA NORTE,0.0006909764
cat__barrio_LOMBARDIA,0.0006853853
cat__barrio_SAN MIGUEL,0.0006743429
cat__barrio_EL VERVENAL,0.0006722614
cat__barrio_LA ESMERALDA,0.00066309335
cat__barrio_BELEN FONTIBON,0.0006570169
cat__barrio_LA FAENA,0.00062937284
cat__barrio_SANTA BARBARA CENTRAL,0.0006254674
cat__barrio_SANTA ANA OCCIDENTAL,0.000622777
num__cultural_amenities_300,0.0006016666
cat__barrio_EL VERGEL,0.00060020393
cat__barrio_EL TOBERIN,0.0006001234
cat__barrio_LA LIBERIA,0.0005983026
cat__barrio_ACEVEDO TEJADA,0.00059577695
cat__barrio_ONCE DE NOVIEMBRE,0.0005949637
cat__barrio_CASABLANCA SUBA NORTE,0.00058740185
cat__barrio_RESTREPO OCCIDENTAL,0.00058123487
cat__barrio_NARINO SUR,0.0005785664
cat__barrio_LAS ORQUIDEAS,0.0005719206
cat__barrio_HIPOTECHO,0.0005716887
cat__barrio_EL MINUTO DE DIOS,0.0005689678
cat__barrio_COMUNEROS,0.00056228205
cat__barrio_RESTREPO,0.000560362
cat__barrio_BARRANCAS,0.0005330569
cat__barrio_MODELIA OCCIDENTAL,0.0005200976
cat__barrio_ARGELIA II,0.00051020115
cat__barrio_SAN ANTONIO NORTE,0.000493126
cat__barrio_ZONA FRANCA,0.00047553645
cat__barrio_TOSCANA,0.00046364008
cat__barrio_ANDES NORTE,0.00046057036
cat__barrio_EL DORADO,0.0004588584
cat__barrio_BARRANCAS ORIENTAL,0.00045259754
cat__barrio_TIBABITA II,0.0004493262
cat__barrio_EL ROCIO NORTE,0.00044224842
cat__barrio_SAN FELIPE,0.00043966356
cat__barrio_BOSQUES DE SAN JORGE,0.00043644133
cat__barrio_DESARROLLO BRAZUELOS,0.00043169103
cat__barrio_SANTA ANA,0.0004231369
cat__barrio_VILLAS DEL PROGRESO,0.0004206816
cat__barrio_TIBABITA I,0.0004203373
cat__barrio_OSORIO II,0.000412756
cat__barrio_SIERRA MORENA I,0.00040883772
cat__barrio_MADELENA,0.00039382573
cat__upz_MINUTO DE DIOS,0.00037522076
cat__barrio_VEREDA SUBA NARANJOS,0.00036331458
cat__barrio_VILLAS DE ALCALA,0.00036046634
cat__barrio_SAN ANTONIO SUR,0.00035640117
cat__barrio_EL PINO,0.00035302137
cat__barrio_CIUDAD TECHO II,0.00035284262
cat__barrio_AUTOPISTA MUZU 0RIENTAL,0.0003515261
cat__barrio_TINTALA,0.00034468345
cat__barrio_PINOS DE LOMBARDIA,0.00033002606
cat__barrio_LAS BRISAS ORIENTAL,0.00032997783
cat__barrio_NUEVO SAN ANDRES,0.00032639087
cat__barrio_CALANDAIMA,0.0003230115
cat__barrio_PARAMO,0.00032194116
cat__barrio_SAN JOSE V SECTOR,0.00030598658
cat__barrio_LA REQUILINA,0.00030196126
cat__upz_TIMIZA,0.00030186423
cat__barrio_CALVO SUR,0.0003016597
cat__barrio_CENTRO INDUSTRIAL,0.00029849284
cat__barrio_IBERIA,0.0002929586
cat__barrio_ALCAZARES NORTE,0.00028555468
cat__barrio_SAN RAFAEL INDUSTRIAL,0.00026889594
cat__upz_LA ALHAMBRA,0.00010647524
cat__barrio_PRADO VERANIEGO,0.0
cat__upz_LA ESMERALDA,0.0
cat__barrio_QUIRIGUA,0.0
cat__barrio_QUINTA PAREDES,0.0
cat__upz_LA CANDELARIA,0.0
cat__barrio_POTRERILLO,0.0
cat__barrio_QUESADA,0.0
cat__barrio_PUERTA DEL SOL,0.0
cat__barrio_PUERTA DE TEJA,0.0
cat__barrio_LOS LAURELES,0.0
cat__barrio_PUENTE GRANDE,0.0
cat__barrio_PRADO VERANIEGO NORTE,0.0
cat__barrio_PROVIVIENDA ORIENTAL,0.0
cat__barrio_LOS EJIDOS,0.0
cat__upz_LA FLORESTA,0.0
cat__barrio_PROVIVIENDA NORTE,0.0
cat__barrio_PROVIVIENDA CENTRAL,0.0
cat__barrio_PROVIVIENDA,0.0
cat__barrio_PRIMAVERA OCCIDENTAL,0.0
cat__barrio_PRIMAVERA II,0.0
cat__barrio_PRIMAVERA,0.0
cat__barrio_PRADO VERANIEGO SUR,0.0
cat__upz_NIZA,0.0
cat__barrio_RAFAEL URIBE,0.0
cat__barrio_RAFAEL NUNEZ,0.0
cat__barrio_LOS CEREZOS,0.0
cat__barrio_SAN BERNARDINO XIX,0.0
cat__upz_QUINTA PAREDES,0.0
cat__upz_GRANJAS DE TECHO,0.0
cat__barrio_SAN ANTONIO NOROCCIDENTAL,0.0
cat__barrio_SAMPER MENDOZA,0.0
cat__barrio_SAMPER,0.0
cat__barrio_SAMORE,0.0
cat__barrio_SALITRE SUBA,0.0
cat__barrio_SAGRADO CORAZON,0.0
