Variable,Importancia
cat__barrio_LA ESTRADITA,0.0
cat__barrio_LA ESTRADA,0.0
cat__barrio_LA ESTANZUELA,0.0
cat__barrio_LA ESTANCIA,0.0
cat__barrio_LA ESPERANZA SUR I,0.0
cat__barrio_LA ESPERANZA SUR,0.0
cat__barrio_LA ESPERANZA NORTE,0.0
cat__barrio_LA CONCORDIA,0.0
cat__barrio_LA CITA,0.0
cat__upz_TINTAL NORTE,0.0
cat__barrio_LA CASTELLANA,0.0
cat__barrio_LA CAROLINA SUBA,0.0
cat__upz_TOBERIN,0.0
cat__barrio_LA MAGDALENA ORIENTAL,0.0
cat__barrio_LA MERCED,0.0
cat__barrio_FERROCAJA,0.0
cat__barrio_LA PAMPA,0.0
cat__barrio_LECH WALESA,0.0
cat__upz_SAN BLAS,0.0
cat__upz_SAN CRISTOBAL NORTE,0.0
cat__barrio_LAS NIEVES,0.0
cat__barrio_LAS MERCEDES SUBA,0.0
cat__barrio_LAS MARGARITAS SUR,0.0
cat__barrio_LAS MARGARITAS,0.0
cat__upz_SAN ISIDRO - PATIOS,0.0
cat__barrio_LAS FERIAS OCCIDENTAL,0.0
cat__barrio_LAS FERIAS,0.0
cat__barrio_LAS DOS AVENIDAS,0.0
cat__barrio_LAS CRUCES,0.0
cat__barrio_LAS AMERICAS,0.0
cat__upz_SAN JOSE DE BAVARIA,0.0
cat__barrio_LAGO GAITAN,0.0
cat__barrio_LA URIBE,0.0
cat__barrio_LA SOLEDAD NORTE,0.0
cat__barrio_LA SOLEDAD,0.0
cat__barrio_LA SALLE,0.0
cat__barrio_LA SABANA,0.0
cat__barrio_LA RIVIERA,0.0
cat__upz_SAN RAFAEL,0.0
cat__barrio_LA PRADERA,0.0
cat__barrio_LA PERSEVERANCIA,0.0
cat__upz_SANTA ISABEL,0.0
cat__barrio_LA PAZ BOSA,0.0
cat__barrio_LA PATRIA,0.0
cat__barrio_LA CAPUCHINA,0.0
cat__barrio_LA CAMPINA,0.0
cat__barrio_LA CAMELIA,0.0
cat__upz_TUNJUELITO,0.0
cat__barrio_HIPOTECHO SUR,0.0
cat__barrio_HIPOTECHO OCCIDENTAL,0.0
cat__barrio_ALAMOS SUR INDUSTRIAL,0.0
cat__barrio_GUADUAL FONTIBON,0.0
cat__barrio_GUADALUPE,0.0
cat__barrio_GRANJAS DE TECHO,0.0
cat__barrio_GRANADA SUR,0.0
cat__barrio_GRANADA NORTE,0.0
cat__barrio_GRANADA,0.0
cat__barrio_GRAN GRANADA,0.0
cat__barrio_GRAN COLOMBIANO,0.0
cat__barrio_GRAN BRITALIA I,0.0
cat__barrio_GRAN BRITALIA,0.0
cat__barrio_GRAN AMERICA,0.0
cat__barrio_GORGONZOLA,0.0
cat__barrio_ALAMOS ZARZAMORA,0.0
cat__barrio_ALCALA,0.0
cat__barrio_GARCES NAVAS SUR,0.0
cat__barrio_GARCES NAVAS ORIENTAL,0.0
cat__barrio_GALICIA,0.0
cat__barrio_GALERIAS,0.0
cat__barrio_GALAN SUR,0.0
cat__barrio_GALAN,0.0
cat__barrio_ALCAZARES,0.0
cat__barrio_FLORIDA BLANCA,0.0
cat__barrio_FLORIDA,0.0
cat__barrio_FLORENCIA,0.0
cat__barrio_HORIZONTES NORTE,0.0
cat__barrio_INDUSTRIAL CENTENARIO,0.0
cat__barrio_INGEMAR,0.0
cat__barrio_JUAN XXIII,0.0
cat__barrio_LA CABRERA,0.0
cat__barrio_LA CABANA SUR,0.0
cat__barrio_LA CABANA OCCIDENTAL,0.0
cat__barrio_LA CABANA NORTE,0.0
cat__barrio_LA CABANA FONTIBON,0.0
cat__barrio_LA AURORA SUR,0.0
cat__barrio_LA ASUNCION,0.0
cat__barrio_LA ANDREA,0.0
cat__barrio_LA ALAMEDA,0.0
cat__barrio_KASANDRA,0.0
cat__barrio_JULIO FLOREZ,0.0
cat__barrio_JUAN XXIII ORIENTAL,0.0
cat__barrio_JUAN REY ( LA PAZ ),0.0
cat__barrio_ABRAHAM LINCOLN,0.0
cat__barrio_JOSE MARIA CARBONEL,0.0
cat__barrio_JOSE JOAQUIN VARGAS,0.0
cat__upz_ZONA FRANCA,0.0
cat__barrio_JORGE URIBE BOTERO,0.0
cat__barrio_JORGE GAITAN CORTES,0.0
cat__barrio_20 DE JULIO,0.0
cat__barrio_JARDIN BOTANICO,0.0
cat__barrio_JAQUELINE,0.0
cat__barrio_ISMAEL PERDOMO,0.0
cat__barrio_ISLANDIA,0.0
cat__barrio_IRAGUA,0.0
cat__barrio_INTERINDUSTRIAL,0.0
cat__barrio_FRANCO,0.0
