precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,education_100,healthcare_100,retail_access_100,dining_and_entertainment_100,accommodation_100,parks_and_recreation_100,infrastructure_services_100,cultural_amenities_100,education_300,healthcare_300,retail_access_300,dining_and_entertainment_300,accommodation_300,parks_and_recreation_300,infrastructure_services_300,cultural_amenities_300,education_500,healthcare_500,retail_access_500,dining_and_entertainment_500,accommodation_500,parks_and_recreation_500,infrastructure_services_500,cultural_amenities_500,education_1000,healthcare_1000,retail_access_1000,dining_and_entertainment_1000,accommodation_1000,parks_and_recreation_1000,infrastructure_services_1000,cultural_amenities_1000,education_2000,healthcare_2000,retail_access_2000,dining_and_entertainment_2000,accommodation_2000,parks_and_recreation_2000,infrastructure_services_2000,cultural_amenities_2000,catastral,comercial,upz_calculada,barrio_calculado,localidad_calculada
530000000.0,79.0,3.0,2.0,350000.0,2.0,NIZA ALHAMBRA,4.0,ENTRE 10 Y 20 ANOS,4.693,-74.084,USADO,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,2,2,0,0,9,10,30,118,19,5,26,3,67,115,619,746,70,20,174,18,2794416.75,3602624.25,PARDO RUBIO,INGEMAR ORIENTAL,CHAPINERO
210000000.0,32.0,2.0,1.0,142000.0,0.0,PUENTE ARANDA,3.0,ENTRE 0 Y 5 ANOS,4.6137867,-74.107605,USADO,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,11,0,2,1,0,1,14,39,40,3,7,21,0,8,74,242,322,22,35,80,1,69,240,817,780,57,64,257,18,3162601.8333333335,4069413.0,CHICO LAGO,ANTIGUO COUNTRY,CHAPINERO
247000000.0,34.0,1.0,1.0,180700.0,1.0,CHAPINERO,3.0,MAS DE 20 ANOS,4.64863660234337,-74.06252423287926,,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,1,6,1,0,0,1,0,4,2,14,4,0,1,2,0,8,8,39,16,0,3,11,1,33,64,355,167,1,23,74,3,1438503.0,2166250.0,BAVARIA,MARSELLA,KENNEDY
2400000000.0,263.0,4.0,5.0,,4.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.68541,-74.02787,USADO,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,20,5,0,4,0,0,4,17,70,44,0,6,9,0,20,63,230,146,0,17,29,1,44,167,502,349,5,51,102,2,1680197.4,2129198.8,LOS CEDROS,LOS CEDROS,USAQUEN
179900000.0,60.0,3.0,2.0,113000.0,0.0,KENNEDY,2.0,ENTRE 10 Y 20 ANOS,4.6539464,-74.15781,USADO,0,0,1,0,0,0,0,0,1,4,1,0,1,0,1,9,5,9,2,0,5,1,3,29,29,29,10,0,17,1,8,93,101,152,23,13,73,1,27,225,621,643,51,65,226,10,3146807.5,3891168.6666666665,CHICO LAGO,CHICO NORTE III SECTOR,CHAPINERO
288000000.0,45.0,1.0,1.0,,0.0,CHAPINERO ALTO,4.0,ENTRE 10 Y 20 ANOS,4.6274223,-74.06448,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,1,2,0,1,2,16,15,2,3,6,0,6,32,107,96,9,10,35,1,26,134,346,349,38,36,149,5,3234508.2,4043853.8,SANTA BARBARA,MOLINOS NORTE,USAQUEN
3200000000.0,300.0,3.0,4.0,2600000.0,3.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.691,-74.028,USADO,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,0,1,4,14,16,1,5,7,2,17,24,119,162,15,11,62,11,71,156,642,882,68,49,206,21,3294906.0,4162668.6,EL REFUGIO,LOS ROSALES,CHAPINERO
630000000.0,101.23,3.0,3.0,690000.0,2.0,CERROS DE SUBA,6.0,MAS DE 20 ANOS,4.718,-74.076,USADO,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,8,19,33,1,4,19,0,2,11,25,42,4,5,33,2,4,29,73,149,12,13,68,5,22,148,392,493,49,42,183,10,3009791.1666666665,3679136.5,EL REFUGIO,CHICO NORTE II SECTOR,CHAPINERO
1150000000.0,172.0,3.0,5.0,770000.0,3.0,COLINA Y ALREDEDORES,5.0,ENTRE 5 Y 10 ANOS,4.718049,-74.07437,USADO,0,1,1,1,1,1,0,0,2,0,0,1,0,0,2,0,19,28,0,2,6,0,7,9,43,42,5,5,19,3,23,44,222,303,22,15,80,10,71,178,660,916,72,57,221,21,4342833.0,5464078.75,EL REFUGIO,EL NOGAL,CHAPINERO
500000000.0,104.0,3.0,2.0,480000.0,2.0,CEDRITOS,4.0,ENTRE 10 Y 20 ANOS,4.738648,-74.04394,USADO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,15,8,0,2,3,0,5,8,53,22,0,4,5,0,16,42,184,78,0,13,14,1,51,115,536,295,5,37,92,2,953888.0,1204108.0,AMERICAS,HIPOTECHO SUR,KENNEDY
