precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets
485000002.0,80.0,2.0,3.0,683000.0,2.0,NIZA ALHAMBRA,5.0,REMODELADO,4.7035894,-74.06012,USADO,0,0,1,0,0,0,,5.0,
132500000.0,44.0,2.0,1.0,71000.0,1.0,BOSA SOACHA,2.0,ENTRE 10 Y 20 ANOS,4.635619,-74.19123,USADO,0,0,1,0,0,1,,6.0,0.0
2400000000.0,368.0,4.0,5.0,1200000.0,4.0,SALITRE MODELIA,4.0,ENTRE 10 Y 20 ANOS,4.656134,-74.107735,USADO,1,1,1,0,0,0,30.0,10.0,
1200000000.0,243.0,3.0,4.0,1500000.0,2.0,CERROS DE SUBA,6.0,ENTRE 10 Y 20 ANOS,4.719,-74.077,USADO,0,1,1,1,0,1,,,
250000000.0,54.0,3.0,2.0,180000.0,1.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,ENTRE 10 Y 20 ANOS,4.7470098,-74.08733,USADO,0,1,0,0,0,0,,2.0,
178000000.0,49.0,3.0,1.0,105000.0,0.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,MAS DE 20 ANOS,4.7564329999999995,-74.108574,USADO,0,0,1,0,0,0,,1.0,
450000000.0,57.0,1.0,2.0,430000.0,1.0,NIZA ALHAMBRA,5.0,ENTRE 0 Y 5 ANOS,4.7046657,-74.06052,USADO,0,1,1,0,0,1,3.0,5.0,1.0
6000000000.0,363.0,4.0,5.0,1890000.0,4.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.6726856,-74.042816,USADO,0,0,0,1,1,1,1.0,4.0,
1300000000.0,154.0,3.0,3.0,1913100.0,2.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.672,-74.047,USADO,0,1,0,1,0,0,,,1.0
468000000.0,83.0,3.0,2.0,406000.0,1.0,,4.0,ENTRE 10 Y 20 ANOS,4.754654,-74.064514,USADO,0,1,0,1,0,0,,6.0,
135000000.0,36.0,1.0,1.0,66000.0,0.0,KENNEDY,2.0,ENTRE 0 Y 5 ANOS,4.6512036,-74.16896,USADO,0,1,1,0,0,0,,8.0,
3900000000.0,358.31,4.0,5.0,2590900.0,4.0,CHICO,6.0,MAS DE 20 ANOS,4.66994,-74.04642,USADO,0,0,0,0,0,0,,,
2000000000.0,204.0,3.0,4.0,1090000.0,0.0,COLINA Y ALREDEDORES,6.0,ENTRE 0 Y 5 ANOS,4.7446046,-74.06936,USADO,0,0,0,0,0,0,,,
590000000.0,124.0,3.0,3.0,400000.0,1.0,NIZA ALHAMBRA,5.0,ENTRE 10 Y 20 ANOS,4.702357,-74.08057,USADO,0,1,0,0,0,0,,2.0,3.0
1350000000.0,164.0,3.0,4.0,,3.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,6.0,ENTRE 5 Y 10 ANOS,4.74233,-74.07652,USADO,0,1,0,0,0,0,,,
3400000000.0,340.0,3.0,5.0,3050000.0,3.0,CHICO,6.0,MAS DE 20 ANOS,4.66841,-74.04998,USADO,0,1,0,0,0,0,,,
1800000000.0,281.26,4.0,5.0,1100000.0,3.0,COUNTRY,6.0,MAS DE 20 ANOS,4.71,-74.027,USADO,0,0,0,0,0,0,,,
2129720000.0,143.9,2.0,3.0,,2.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.6713214,-74.04529,USADO,0,1,1,1,0,1,77.0,2.0,2.0
224000000.0,37.0,2.0,1.0,146900.0,0.0,COLINA Y ALREDEDORES,3.0,ENTRE 0 Y 5 ANOS,4.74688,-74.06212,USADO,0,0,1,0,0,0,,16.0,
312000000.0,46.0,1.0,2.0,260000.0,1.0,CEDRITOS,4.0,ENTRE 0 Y 5 ANOS,4.7229953,-74.03218,USADO,0,1,1,0,0,1,,3.0,1.0
3200000000.0,392.0,4.0,5.0,,3.0,COUNTRY,6.0,MAS DE 20 ANOS,4.716857,-74.027855,USADO,0,0,1,0,0,0,,3.0,
1250000000.0,137.0,3.0,4.0,510000.0,2.0,COLINA Y ALREDEDORES,5.0,ENTRE 0 Y 5 ANOS,4.735467,-74.06381,USADO,0,1,1,1,0,1,8.0,4.0,3.0
1400000000.0,213.0,4.0,3.0,1835000.0,1.0,CHICO,6.0,MAS DE 20 ANOS,4.672,-74.047,USADO,0,1,0,0,0,0,,,1.0
1295000000.0,224.0,3.0,5.0,,4.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,6.0,ENTRE 0 Y 5 ANOS,4.737057,-74.075455,USADO,0,0,0,0,0,0,,0.0,
