precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets
270000000.0,69.0,3.0,2.0,370000.0,1.0,SUBA,4.0,MAS DE 20 ANOS,4.742106564855095,-74.0821760366323,,0,0,0,0,0,0,,,
170500000.0,57.0,3.0,1.0,150000.0,0.0,LAS MARGARITAS,1.0,ENTRE 5 Y 10 ANOS,4.634299251352016,-74.17689609402005,,0,0,0,0,0,0,,,
231800000.0,40.0,2.0,1.0,110000.0,0.0,CARVAJAL,2.0,ENTRE 10 Y 20 ANOS,4.598348095950164,-74.1413386380256,,0,0,1,0,0,1,,,
181333333.0,45.0,2.0,1.0,112000.0,0.0,SOSIEGO,3.0,ENTRE 5 Y 10 ANOS,4.582524153275497,-74.08107679437866,,0,0,1,0,0,1,,,
127069414.0,44.0,2.0,1.0,79000.0,0.0,EL PORVENIR,3.0,ENTRE 5 Y 10 ANOS,4.6353072,-74.1909903,,0,0,1,0,0,0,,,
527400000.0,70.0,3.0,2.0,624000.0,1.0,GALERIAS,3.0,ENTRE 0 Y 5 ANOS,4.640112107181392,-74.06977874786362,,0,0,1,0,0,1,,,
198411512.0,29.0,1.0,1.0,150000.0,0.0,CHAPINERO,3.0,ENTRE 0 Y 5 ANOS,4.6445082,-74.0637242,,0,0,1,0,0,0,,,
398000000.0,78.0,3.0,2.0,295200.0,1.0,GRANJAS DE TECHO,4.0,ENTRE 10 Y 20 ANOS,4.6618430538046045,-74.13638877790626,,0,0,1,0,0,0,,,
131500000.0,45.0,2.0,1.0,68800.0,0.0,EL PORVENIR,2.0,ENTRE 10 Y 20 ANOS,4.6435312,-74.1883641,,0,0,1,0,0,0,,,
508067531.0,95.0,3.0,2.0,576000.0,1.0,NIZA,4.0,MAS DE 20 ANOS,4.72341664961499,-74.07411895744323,,0,0,1,0,0,1,,,
141000000.0,47.0,2.0,1.0,80000.0,0.0,ENGATIVA,2.0,MAS DE 20 ANOS,4.706130011336,-74.137060024839,,0,0,1,0,0,1,,,
457150148.0,60.0,2.0,2.0,300000.0,1.0,LOS CEDROS,4.0,ENTRE 10 Y 20 ANOS,4.719840789474112,-74.03549026069881,,0,0,1,0,0,0,,,
175378977.0,47.0,3.0,1.0,75000.0,0.0,ISMAEL PERDOMO,3.0,ENTRE 5 Y 10 ANOS,4.5947232,-74.1695062,,0,0,1,0,0,1,,,
255000000.0,63.0,3.0,2.0,188700.0,0.0,GRANJAS DE TECHO,3.0,MAS DE 20 ANOS,4.668839921922773,-74.13556329008078,,0,0,0,0,0,0,,,
302900000.0,67.0,3.0,2.0,220000.0,1.0,CASTILLA,3.0,ENTRE 10 Y 20 ANOS,4.638428609729797,-74.1527894743062,,0,0,1,1,0,1,,,
177273836.0,51.0,3.0,2.0,100000.0,0.0,BOSA OCCIDENTAL,2.0,ENTRE 5 Y 10 ANOS,4.6215775751711465,-74.19511417447814,,0,0,1,0,0,0,,,
128878282.0,46.0,2.0,1.0,57000.0,0.0,EL PORVENIR,2.0,ENTRE 10 Y 20 ANOS,4.644412554659162,-74.19302505258351,,0,0,1,0,0,0,,,
144000000.0,48.0,2.0,1.0,78000.0,0.0,DANUBIO,2.0,ENTRE 10 Y 20 ANOS,4.534192983740102,-74.11413361362598,,0,0,1,0,0,0,,,
540000000.0,70.0,2.0,2.0,756000.0,2.0,CHICO LAGO,6.0,ENTRE 10 Y 20 ANOS,4.684028003646979,-74.05561198841855,,0,0,1,0,0,1,,,
123320404.0,41.0,3.0,1.0,70000.0,0.0,TINTAL SUR,2.0,ENTRE 10 Y 20 ANOS,4.628642706386826,-74.20362539876609,,0,0,1,0,0,0,,,
286700000.0,48.0,1.0,2.0,200000.0,0.0,LA SABANA,3.0,ENTRE 0 Y 5 ANOS,4.608313816763989,-74.08144820696496,,0,0,1,0,0,0,,,
179400000.0,47.0,2.0,1.0,120000.0,0.0,ISMAEL PERDOMO,3.0,ENTRE 5 Y 10 ANOS,4.595785264216776,-74.17213377863463,,0,0,1,0,0,0,,,
161119968.0,49.0,2.0,2.0,80000.0,0.0,LAS MARGARITAS,2.0,ENTRE 10 Y 20 ANOS,4.630347,-74.1761052,,0,0,1,0,0,1,,,
160000000.0,47.0,3.0,1.0,108000.0,0.0,BOSA CENTRAL,2.0,ENTRE 5 Y 10 ANOS,4.6157111,-74.18077679999999,,0,0,1,0,0,1,,,
125254500.0,47.0,2.0,1.0,59000.0,0.0,TINTAL SUR,2.0,ENTRE 5 Y 10 ANOS,4.620631807066451,-74.21241656885468,,0,0,1,0,0,0,,,
459200000.0,68.0,2.0,2.0,566000.0,1.0,USAQUEN,4.0,ENTRE 10 Y 20 ANOS,4.704949230711482,-74.02625577829356,,0,0,1,0,0,1,,,
234000000.0,65.0,3.0,2.0,131160.0,1.0,EL MINUTO DE DIOS,3.0,MAS DE 20 ANOS,4.707816340478762,-74.09575774906662,,0,0,1,0,0,0,,,
335000000.0,67.0,3.0,2.0,374500.0,1.0,GRANJAS DE TECHO,4.0,ENTRE 10 Y 20 ANOS,4.6661248984598,-74.13739322387094,,0,0,1,0,0,0,,,
322632812.0,72.0,2.0,2.0,,1.0,ARBORIZADORA,3.0,ENTRE 0 Y 5 ANOS,4.5836366389746,-74.1552297123324,,0,0,1,0,0,1,,,
